csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	non_steady_state_outlier03	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3450.2232742115143	2919.2104077648028	4317.437332326087	1.162866	26.680725	0.13264878000000002	0.0448547384	-0.0236188515	0.0634630252	-0.0657641488	0.021054565499999997	0.0607749727	-0.051709022400000006	-0.0101449375	0.0031791642	-0.11694584220000001	-0.020118099	-0.0661714499	0.087907919	0.0864718559	0.08409576939999999	0.0	0.0	0.0	0.0	-0.07042610000000002	-0.00576686	0.00483329	0.00206117	0.000882314	-0.00188042
3448.9518662769933	2917.325204499162	4316.6006513968905	1.0140920000000002	23.267262	0.059340420000000026	0.030084238	-0.0064120063	0.0675759796	-0.0235757635	0.06325314530000001	0.018138651699999998	-0.0252229016	-0.0186512559	-0.010041830600000001	-0.0513652459	-0.009661475899999999	-0.0772707184	0.0877883631	0.0859965547	0.0830372485	0.0	0.0	0.0	0.0	-0.0667921	0.0146613	0.035564	0.00205436	0.000882315	-0.00179628
3451.4404616687707	2920.0714563388483	4317.376067059711	1.234426	28.322592	0.1594489	0.0344266512	-0.0137765115	0.060792472199999996	-0.0036468196999999997	0.042300228499999995	0.025245644100000002	-0.0239314294	-0.0372473432	-0.0147684845	-0.0319852203	0.0788823304	-0.0240293335	0.08765558650000001	0.0854694525	0.0818661929	0.0	0.0	0.0	0.0	-0.06689580000000002	0.0993348	0.0504187	0.0010898	0.000882315	-0.0015645
3445.64871857959	2915.3420111241408	4314.2063777720905	1.107037	25.399799	0.09665309999999998	0.0619581041	-0.0332432748	0.0575344254	0.0525684292	0.010959686599999999	-0.0305033509	-0.0495573319	-0.0503821569	-0.0272118607	-0.017343641599999998	0.052340150099999996	-0.0083952127	0.0875096093	0.0848908666	0.0805841897	0.0	0.0	0.0	0.0	-0.06585	0.0541364	0.0198133	0.00093261	0.000882315	-0.00132562
3446.8664720126008	2919.1437112709978	4311.12402091565	1.18014	27.077057	0.12827023	0.044725635300000004	-0.0040093672999999995	0.0019830812	0.1181541613	0.0096576873	-0.054084955	-0.0344255919	-0.0360149698	-0.0075856777000000005	0.062426213700000004	-0.0494767697	0.019182288000000002	0.0873504535	0.0842611457	0.07919297639999999	0.0	0.0	0.0	0.0	-0.074021	0.00137467	0.0416889	0.00151707	0.000989583	-0.00154313
3446.5408095635607	2916.021619947267	4315.492832589206	1.063619	24.403618	0.10422578	0.021040886800000002	0.015569513600000001	-0.0413106192	0.145040126	0.0576062422	-0.0263921977	-0.0061299055	-0.0231748167	0.0175454628	0.1309315341	-0.030808017000000004	-0.007076784	0.08717814300000001	0.08358066900000001	0.0776944383	0.0	0.0	0.0	0.0	-0.0780268	0.0431499	0.0697035	0.00118228	0.0009141	-0.0013448
3448.654163030217	2916.3769131180547	4319.712409792237	1.146195	26.298235	0.11398095	0.0283641051	-0.0068312760999999994	-0.058812890300000004	0.0909359725	-0.0041205829	0.0385848677	-0.0371045888	-0.005399288299999999	0.0426555042	0.0931172199	0.0973097383	0.0890273809	0.0869927038	0.0828498464	0.0760906063	0.0	0.0	0.0	0.0	-0.0682223	0.108665	0.0602408	0.0007388559999999998	0.000976639	-0.00126679
3445.764517218925	2915.98716536042	4315.741961282445	1.139569	26.14621	0.10821534999999999	0.0264717534	0.019151564	-0.080824417	0.0702261597	-0.0198285484	0.0391529914	-0.028850415600000002	0.021979278199999997	0.0464315286	0.09348229	0.018277135	0.0379627375	0.0867941638	0.0820691182	0.0743836539	0.0	0.0	0.0	0.0	-0.0680486	0.0367441	0.0652792	0.0010898	0.0008143459999999998	-0.0013752
3443.376212730816	2918.093636614986	4317.672154856085	1.04733	24.029882	0.10422535	0.0280861255	0.0353110009	-0.0894513629	0.0415698127	-0.030499615499999997	-0.031830308700000004	-0.0263383725	0.04411097	0.044415806399999994	0.0864836383	0.020005728400000002	0.0959544647	0.086582553	0.08123895469999999	0.0725758945	0.0	0.0	0.0	0.0	-0.0727477	0.0970716	0.0662154	0.000700653	0.00107794	-0.00148771
3445.221406885073	2915.566440084336	4320.312197714978	1.079585	24.769936	0.09212685	0.0398512185	0.019759464299999998	-0.0634660084	-0.013164668999999999	-0.086491178	-0.0501233313	-0.0451044295	0.0496258297	0.044107120199999995	0.027359670699999998	-0.0116930623	0.08982024849999999	0.08635790310000001	0.0803598558	0.0706697781	0.0	0.0	0.0	0.0	-0.0748971	0.0562634	0.0378859	0.000674105	0.000816773	-0.0013586300000000004
